Change Component Description : Designator=U4 Old Description=Light to Voltage Ambient Light Sensor Digital 3.3V 20-Pin LGA T/R New Description=Optical Sensor Ambient 610nm, 680nm, 730nm, 760nm, 810nm, 860nm IÂ²C, SPI 20-BFLGA
Change component parameters: Designator = "R12" ("R12"); Footprint = "RESC1608X55X25LL10T15"; UniqueID = "\EKRLLJJP" ("\EKRLLJJP")
Change component parameters: Designator = "U4" ("U4"); Footprint = "PQFN065P470X450X260-20N"; UniqueID = "\RESVYKKC" ("\RESVYKKC")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ams"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "AS7263-BLGT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "LGA-20 ams"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/AS7263-BLGT/ams/view-part/1600359/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C10(FP-GRM188-0_1-e0_2_0_5-IPC_C)
Add component (AddParameter): Name = "Capacitance"; Value = "1nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=C12(FP-GRM188-0_1-e0_2_0_5-IPC_C)
Add component (AddParameter): Name = "Capacitance"; Value = "1nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.035inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.8mm"; VariantName = "[No Variations]"
Added Component: Designator=J2(JST Programmer)
Added Pin To Net: NetName=VBUS Pin=C10-1
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C12-2
Added Pin To Net: NetName=3.3V Pin=J2-1
Added Pin To Net: NetName=GND Pin=J2-5
Added Pin To Net: NetName=NetC12_1 Pin=C12-1
Added Pin To Net: NetName=NetC12_1 Pin=FB1-2
Added Pin To Net: NetName=NetC12_1 Pin=U1-31
Added Net: Name=NetC12_1
Added Room: Name=SensorBoardSchm
